Date,Aord,Nikkei,Hsi,Daxi,Dji,Nasdaq,Sp500,Spy,NIFTY_Previous,NIFTY
2008-01-14,6041.600098,14419.429688,27019.130859,7717.450195,12850.74023,2471.860107,1419.910034,140.779999,6213.9350098,6208.799805
2008-01-15,6003.600098,14134.910156,26728.929688,7692.540039,12613.78027,2470.8701170000004,1402.910034,141.160004,6222.8950196,6226.350098
2008-01-16,5877.899902,13796.730469,25131.109375,7714.600098000001,12777.5,2449.040039,1411.880005,139.78999299999998,6214.9250001,6065.0
2008-01-17,5803.0,13596.379883,24705.080078,7536.47998,12476.80957,2390.560059,1377.410034,137.360001,6190.2950196,5937.950195
2008-01-18,5803.0,13577.5,24247.169922,7504.850098000001,12467.04981,2405.73999,1374.790039,137.809998,6163.1600098,5907.75
2008-01-21,5569.100098,13701.429688,24459.019531,7417.549805,12159.94043,2365.560059,1333.900024,134.740005,6106.5600098,5705.0
2008-01-22,5264.200195,13125.230469,22624.289063,7292.680176000002,12159.94043,2365.560059,1333.900024,134.740005,5998.6500001,5203.350098
2008-01-23,5480.899902,12756.30957,23359.199219,6591.390136999999,12092.71973,2221.199951,1312.939941,127.209999,5860.2000001,4903.049805
2008-01-24,5631.600098,12952.5,24396.849609,6811.810059,11969.08008,2226.77002,1310.410034,127.089996,5753.189990299999,5208.0
2008-01-25,5631.600098,13258.769531,24801.460938,6550.1098630000015,12272.69043,2328.860107,1340.130005,134.479996,5640.029980599999,5035.049805
2008-01-28,5887.899902,13482.839844,24342.390625,6884.160156,12391.7002,2402.800049,1357.319946,136.509995,5557.2450196,5380.950195
2008-01-29,5780.700195,13246.69043,24640.099609,6749.290039,12205.70996,2324.850098,1330.699951,133.259995,5462.564990299999,5279.549805
2008-01-30,5656.600098,13500.519531,24605.150391,6834.600098000001,12385.19043,2360.429932,1355.939941,136.100006,5384.439990299999,5283.75
2008-01-31,5717.200195,13227.480469,23789.720703,6886.919922,12480.13965,2346.360107,1362.219971,135.580002,5307.8699708,5172.25
2008-02-01,5717.200195,13517.740234,23791.919922,6856.879883,12438.28027,2317.110107,1351.97998,133.399994,5231.154980599999,5140.600098
2008-02-04,5921.200195,13642.599609,24885.070313,6896.189941,12638.16992,2392.580078,1378.599976,137.940002,5192.209961099999,5315.549805
2008-02-05,5830.100098,13806.169922,24710.099609,7018.640137,12743.11035,2413.419922,1395.380005,139.21000700000002,5218.2499513,5463.75
2008-02-06,5675.799805,13548.530272999997,23458.150391,6998.740234000001,12631.84961,2344.810059,1380.280029,135.940002,5274.984961,5470.399902
2008-02-07,5679.0,13077.25,23458.150391,6726.540039,12257.25,2327.179932,1339.47998,134.580002,5286.4399415,5322.549805
2008-02-08,5679.0,13143.080078,23458.150391,6829.069823999998,12196.2002,2259.6201170000004,1324.01001,131.800003,5296.1449708,5132.100098
2008-02-11,5616.399902,13143.080078,23404.740234,6777.540039,12248.46973,2290.5,1336.880005,133.089996,5270.1049318,5120.549805
2008-02-12,5680.100098,12998.870117,22953.779297,6723.970215,12181.88965,2310.75,1331.920044,133.100006,5229.934961100001,4877.850098
2008-02-13,5636.200195,13162.950195,23330.089844,6793.470215,12241.55957,2333.310059,1340.550049,134.910004,5185.214941599999,4836.549805
2008-02-14,5725.299805,13254.589844,23893.509766,6914.209961,12368.12012,2347.219971,1353.119995,136.009995,5162.454931800001,4944.649902
2008-02-15,5725.299805,13508.530272999997,23511.470703,7024.569823999998,12551.50977,2376.219971,1367.329956,136.949997,5168.679931799999,5202.850098
2008-02-18,5655.899902,13627.30957,24344.269531,6966.75,12376.66016,2320.580078,1347.52002,134.5,5167.5699708,5304.450195
2008-02-19,5693.100098,13761.759766,24040.660156,6865.569823999998,12376.66016,2320.580078,1347.52002,134.5,5149.034960999999,5278.399902
2008-02-20,5597.399902,13729.75,24265.320313,6947.680176000002,12349.58984,2348.97998,1355.859985,136.720001,5128.709961,5267.149902
2008-02-21,5655.700195,13462.719727000003,23957.640625,6933.02002,12333.30957,2292.820068,1348.390015,133.990005,5112.1449707,5156.899902
2008-02-22,5655.700195,13530.19043,23233.900391,6928.339844,12426.84961,2344.080078,1362.209961,136.660004,5117.2749511,5183.399902
2008-02-25,5706.200195,13612.30957,23546.099609,6889.490234000001,12281.08984,2306.610107,1344.219971,134.970001,5116.4449706,5112.25
2008-02-26,5760.5,14036.889647999997,23564.769531,6850.919922,12380.76953,2303.409912,1352.75,135.53999299999998,5148.7399413,5200.799805
2008-02-27,5835.799805,14007.320313,24161.189453,6906.430176000002,12569.48047,2314.419922,1371.76001,136.75,5192.224951,5271.399902
