Date,Aord,Nikkei,Hsi,Daxi,Dji,Nasdaq,Sp500,Spy,NIFTY_Previous,NIFTY
2008-01-15,-38.0,-284.51953200000025,-290.2011710000006,-24.910155999999915,-236.95996000000014,-0.9899899999995796,-17.0,0.38000499999998283,8.96000979999917,17.550293000000238
2008-01-16,-125.70019599999978,-338.17968699999983,-1597.8203130000002,22.060059000000365,163.7197300000007,-21.830078000000412,8.969970999999987,-1.3700110000000052,-7.97001949999958,-161.3500979999999
2008-01-17,-74.89990200000011,-200.35058600000048,-426.02929700000095,-178.12011800000073,-300.69043000000056,-58.47998000000007,-34.46997099999999,-2.42999199999997,-24.629980499999874,-127.04980499999965
2008-01-18,0.0,-18.87988299999961,-457.9101559999981,-31.62988199999927,-9.759759999999005,15.179931000000124,-2.619995000000017,0.4499969999999962,-27.13500980000026,-30.20019500000035
2008-01-21,-233.8999020000001,123.92968800000017,211.84960900000078,-87.30029300000115,-307.1093799999999,-40.179931000000124,-40.89001499999995,-3.069993000000011,-56.599999999999454,-202.75
2008-01-22,-304.89990299999954,-576.1992190000001,-1834.7304680000016,-124.86962899999799,0.0,0.0,0.0,0.0,-107.91000970000005,-501.6499020000001
2008-01-23,216.69970699999976,-368.92089900000065,734.9101559999981,-701.2900390000023,-67.22069999999985,-144.36010799999985,-20.96008299999994,-7.530006,-138.45000000000073,-300.30029300000024
2008-01-24,150.70019599999978,196.19043000000056,1037.6503900000025,220.41992200000095,-123.63965000000098,5.570068999999876,-2.529907000000094,-0.12000299999999697,-107.01000980000026,304.95019500000035
2008-01-25,0.0,306.2695309999999,404.6113289999994,-261.70019599999887,303.61035000000084,102.09008700000004,29.719970999999987,7.390000000000001,-113.16000970000005,-172.95019500000035
2008-01-28,256.2998040000002,224.07031300000017,-459.07031300000017,334.0502929999984,119.00976999999875,73.93994199999997,17.18994100000009,2.0299990000000037,-82.78496099999938,345.9003900000007
2008-01-29,-107.19970699999976,-236.14941399999952,297.7089840000008,-134.87011699999948,-185.99023999999918,-77.94995100000006,-26.619995000000017,-3.25,-94.68002930000057,-101.4003900000007
2008-01-30,-124.10009700000046,253.82910099999935,-34.949218000001565,85.31005900000036,179.48047000000042,35.57983400000012,25.239990000000034,2.840011000000004,-78.125,4.200195000000349
2008-01-31,60.60009700000046,-273.03906199999983,-815.4296880000002,52.319823999999244,94.9492199999986,-14.069825000000037,6.280029999999897,-0.5200040000000001,-76.57001949999903,-111.5
2008-02-01,0.0,290.2597650000007,2.1992190000019036,-30.040039000000434,-41.859379999999874,-29.25,-10.239990999999918,-2.180008000000015,-76.71499020000101,-31.64990200000011
2008-02-04,204.0,124.859375,1093.1503909999992,39.310058000000026,199.88965000000098,75.46997099999999,26.6199959999999,4.540008,-38.945019499999944,174.94970699999976
2008-02-05,-91.10009700000046,163.57031299999835,-174.9707039999994,122.45019600000069,104.94043000000056,20.839844000000085,16.780029000000013,1.270005000000026,26.03999020000083,148.20019500000035
2008-02-06,-154.30029300000024,-257.63964900000246,-1251.9492180000016,-19.89990299999954,-111.26074000000153,-68.60986300000013,-15.09997599999997,-3.270005000000026,56.735009699999864,6.649902000000111
2008-02-07,3.200195000000349,-471.28027299999667,0.0,-272.20019500000035,-374.5996099999993,-17.630126999999902,-40.800048999999944,-1.3599999999999852,11.454980499999692,-147.85009700000046
2008-02-08,0.0,65.83007800000087,0.0,102.5297849999979,-61.04980000000069,-67.55981499999962,-15.469970000000103,-2.7799990000000037,9.705029300000206,-190.44970699999976
2008-02-11,-62.60009799999989,0.0,-53.410156999998435,-51.5297849999979,52.269530000001396,30.87988299999961,12.869995000000017,1.2899930000000097,-26.040039000000434,-11.550293000000238
2008-02-12,63.70019599999978,-144.20996100000048,-450.96093699999983,-53.56982400000015,-66.58008000000154,20.25,-4.959961000000021,0.01000999999999408,-40.169970699998885,-242.69970699999976
2008-02-13,-43.89990299999954,164.08007799999905,376.3105469999973,69.5,59.669920000000275,22.56005899999991,8.630004999999983,1.809997999999979,-44.7200195000014,-41.30029300000024
2008-02-14,89.0996099999993,91.63964900000065,563.419922000001,120.73974599999929,126.56055000000015,13.909912000000077,12.569946000000073,1.099991000000017,-22.760009799998443,108.10009700000046
2008-02-15,0.0,253.94042899999658,-382.03906300000017,110.35986299999877,183.38965000000098,29.0,14.209961000000021,0.9400019999999927,6.224999999998545,258.2001959999998
2008-02-18,-69.39990299999954,118.77929700000277,832.7988280000027,-57.819823999998334,-174.84961000000112,-55.63989300000003,-19.809936000000107,-2.449996999999996,-1.1099609999992026,101.60009700000046
2008-02-19,37.20019599999978,134.45019599999978,-303.609375,-101.18017600000167,0.0,0.0,0.0,0.0,-18.535009800000807,-26.050293000000238
2008-02-20,-95.70019599999978,-32.00976599999922,224.66015699999843,82.11035200000333,-27.0703199999989,28.39990200000011,8.33996500000012,2.2200009999999963,-20.324999999999818,-11.25
2008-02-21,58.30029300000024,-267.03027299999667,-307.67968800000017,-14.660156000001734,-16.28027000000111,-56.15991200000008,-7.469970000000103,-2.729996,-16.56499029999941,-110.25
2008-02-22,0.0,67.47070299999723,-723.7402340000008,-4.680175999999847,93.54003999999986,51.260009999999966,13.819946000000073,2.66999899999999,5.129980400000022,26.5
2008-02-25,50.5,82.11913999999888,312.19921800000157,-38.8496099999993,-145.75976999999875,-37.46997099999999,-17.989990000000034,-1.6900029999999902,-0.8299805000006018,-71.14990200000011
2008-02-26,54.29980499999965,424.58007799999723,18.669922000000952,-38.57031200000074,99.67968999999903,-3.200194999999894,8.530029000000013,0.569991999999985,32.294970700000704,88.54980499999965
